json_name,team_short_name,value
Sai Kishore,GT,9.5
Digvesh Singh,LSG,9.0
Ashwani Kumar,MI,8.5
Akash Madhwal,CSK,7.5
Gerald Coetzee,SRH,7.5
Daksh Kamra,KKR,7.5
Yudhvir Singh,RR,7.5
Auqib Nabi,DC,7.5
Mayank Yadav,LSG,7.5
Rasikh Salam,RCB,7.5
Rehan Ahmed,DC,7.0
Connor Esterhuizen,GT,7.0
Dilshan Madushanka,SRH,7.0
Yash Punja,RR,7.0
Saurabh Dubey,KKR,7.0
Mohammad Izhar,MI,7.0
Amit Kumar,SRH,7.0
Krish Bhagat,MI,7.0
Sahil Parakh,DC,7.0
Aman Perala,RR,7.0
Tejasvi Singh,KKR,7.0
Brijesh Sharma,RR,7.0
Mukul Choudhary,LSG,7.0
